question,SAT,ACT_even,ACT_odd 
question_0001.tex,B,H,C 
question_0002.tex,B,H,C 
question_0003.tex,B,G,B 
question_0004.tex,A,F,A 
question_0005.tex,B,G,B 
question_0006.tex,B,H,C 
question_0007.tex,B,H,C 
question_0008.tex,D,K,E 
question_0009.tex,C,H,C 
question_0010.tex,B,H,C 
question_0011.tex,B,G,B 
question_0012.tex,C,J,D 
question_0013.tex,A,F,A 
question_0014.tex,B,H,C 
question_0015.tex,D,J,D 
question_0016.tex,B,G,B 
question_0017.tex,D,K,E 
question_0018.tex,B,G,B 
question_0019.tex,A,F,A 
question_0020.tex,D,K,E 
question_0021.tex,D,K,E 
question_0022.tex,C,H,C 
question_0023.tex,A,F,A 
question_0024.tex,A,G,B 
question_0025.tex,D,K,E 
question_0026.tex,D,K,E 
question_0027.tex,B,G,B 
question_0028.tex,C,H,C 
question_0029.tex,D,K,E 
question_0030.tex,B,G,B 
question_0031.tex,C,H,C 
question_0032.tex,C,J,D 
question_0033.tex,C,J,D 
question_0034.tex,C,H,C 
question_0035.tex,C,H,C 
question_0036.tex,D,K,E 
question_0037.tex,D,K,E 
question_0038.tex,D,J,D 
question_0039.tex,A,F,A 
question_0040.tex,D,K,E 
question_0041.tex,B,G,B 
question_0042.tex,C,H,C 
question_0043.tex,A,F,A 
question_0044.tex,C,H,C 
question_0045.tex,B,G,B 
question_0046.tex,A,F,A 
question_0047.tex,C,J,D 
question_0048.tex,B,G,B 
question_0049.tex,A,F,A 
question_0050.tex,C,J,D 
question_0051.tex,C,J,D 
question_0052.tex,B,H,C 
question_0053.tex,B,H,C 
question_0054.tex,B,G,B 
question_0055.tex,B,H,C 
question_0056.tex,D,K,E 
question_0057.tex,B,H,C 
question_0058.tex,B,H,C 
question_0059.tex,D,J,D 
question_0060.tex,D,K,E 
question_0061.tex,B,G,B 
question_0062.tex,D,J,D 
question_0063.tex,C,H,C 
question_0064.tex,A,G,B 
question_0065.tex,C,J,D 
question_0066.tex,B,G,B 
question_0067.tex,A,F,A 
question_0068.tex,B,G,B 
question_0069.tex,C,J,D 
question_0070.tex,B,G,B 
question_0071.tex,D,K,E 
question_0072.tex,D,K,E 
question_0073.tex,D,J,D 
question_0074.tex,C,J,D 
question_0075.tex,C,H,C 
question_0076.tex,A,F,A 
question_0077.tex,D,K,E 
question_0078.tex,A,G,B 
question_0079.tex,A,F,A 
question_0080.tex,B,G,B 
question_0081.tex,A,F,A 
question_0082.tex,B,H,C 
question_0083.tex,A,F,A 
question_0084.tex,D,K,E 
question_0085.tex,B,H,C 
question_0086.tex,A,F,A 
question_0087.tex,C,H,C 
question_0088.tex,B,G,B 
question_0089.tex,B,H,C 
question_0090.tex,C,J,D 
question_0091.tex,C,J,D 
question_0092.tex,A,F,A 
question_0093.tex,B,H,C 
question_0094.tex,B,G,B 
question_0095.tex,C,J,D 
question_0096.tex,C,H,C 
question_0097.tex,A,F,A 
question_0098.tex,A,F,A 
question_0099.tex,D,K,E 
question_0100.tex,C,J,D 
question_0101.tex,D,K,E 
question_0102.tex,C,H,C 
question_0103.tex,C,J,D 
question_0104.tex,B,H,C 
question_0105.tex,B,G,B 
question_0106.tex,A,G,B 
question_0107.tex,A,F,A 
question_0108.tex,C,J,D 
question_0109.tex,B,G,B 
question_0110.tex,A,F,A 
question_0111.tex,D,K,E 
question_0112.tex,B,H,C 
question_0113.tex,D,K,E 
question_0114.tex,C,J,D 
question_0115.tex,A,F,A 
question_0116.tex,A,F,A 
question_0117.tex,B,G,B 
question_0118.tex,D,K,E 
question_0119.tex,D,J,D 
question_0120.tex,A,G,B 
question_0121.tex,B,G,B 
question_0122.tex,A,F,A 
question_0123.tex,D,K,E 
question_0124.tex,B,G,B 
question_0125.tex,D,K,E 
question_0126.tex,A,G,B 
question_0127.tex,A,G,B 
question_0128.tex,D,K,E 
question_0129.tex,D,J,D 
question_0130.tex,A,F,A 
question_0131.tex,B,H,C 
question_0132.tex,C,H,C 
question_0133.tex,B,G,B 
question_0134.tex,B,H,C 
question_0135.tex,C,J,D 
question_0136.tex,B,H,C 
question_0137.tex,B,G,B 
question_0138.tex,A,F,A 
question_0139.tex,C,J,D 
question_0140.tex,A,F,A 
question_0141.tex,D,J,D 
question_0142.tex,B,G,B 
question_0143.tex,D,K,E 
question_0144.tex,B,G,B 
question_0145.tex,C,H,C 
question_0146.tex,B,G,B 
question_0147.tex,B,G,B 
question_0148.tex,D,K,E 
question_0149.tex,C,H,C 
question_0150.tex,A,G,B 
question_0151.tex,A,F,A 
question_0152.tex,A,F,A 
question_0153.tex,C,J,D 
question_0154.tex,C,J,D 
question_0155.tex,B,G,B 
question_0156.tex,C,H,C 
question_0157.tex,A,F,A 
question_0158.tex,D,K,E 
question_0159.tex,B,H,C 
question_0160.tex,B,H,C 
question_0161.tex,A,F,A 
question_0162.tex,C,H,C 
question_0163.tex,A,G,B 
question_0164.tex,B,G,B 
question_0165.tex,A,F,A 
question_0166.tex,A,G,B 
question_0167.tex,C,H,C 
question_0168.tex,B,H,C 
question_0169.tex,B,G,B 
question_0170.tex,A,G,B 
question_0171.tex,B,H,C 
question_0172.tex,C,H,C 
question_0173.tex,D,K,E 
question_0174.tex,D,J,D 
question_0175.tex,C,J,D 
question_0176.tex,C,H,C 
question_0177.tex,D,K,E 
question_0178.tex,A,G,B 
question_0179.tex,C,J,D 
question_0180.tex,B,H,C 
question_0181.tex,C,J,D 
question_0182.tex,D,K,E 
question_0183.tex,A,F,A 
question_0184.tex,B,H,C 
question_0185.tex,D,K,E 
question_0186.tex,B,G,B 
question_0187.tex,B,G,B 
question_0188.tex,D,K,E 
question_0189.tex,A,F,A 
question_0190.tex,B,H,C 
question_0191.tex,B,H,C 
question_0192.tex,B,G,B 
question_0193.tex,A,F,A 
question_0194.tex,B,G,B 
question_0195.tex,A,F,A 
question_0196.tex,A,G,B 
question_0197.tex,B,H,C 
question_0198.tex,C,H,C 
question_0199.tex,C,H,C 
question_0200.tex,D,K,E 
question_0201.tex,C,J,D 
question_0202.tex,B,G,B 
question_0203.tex,A,F,A 
question_0204.tex,D,K,E 
question_0205.tex,A,F,A 
question_0206.tex,A,F,A 
question_0207.tex,A,F,A 
question_0208.tex,D,K,E 
question_0209.tex,D,K,E 
question_0210.tex,A,F,A 
question_0211.tex,B,G,B 
question_0212.tex,A,F,A 
question_0213.tex,A,G,B 
question_0214.tex,D,K,E 
question_0215.tex,C,J,D 
question_0216.tex,C,H,C 
question_0217.tex,A,F,A 
question_0218.tex,C,J,D 
question_0219.tex,B,H,C 
question_0220.tex,A,G,B 
question_0221.tex,C,H,C 
question_0222.tex,B,H,C 
question_0223.tex,C,J,D 
question_0224.tex,B,H,C 
question_0225.tex,C,J,D 
question_0226.tex,B,G,B 
question_0227.tex,D,K,E 
question_0228.tex,C,J,D 
question_0229.tex,B,G,B 
question_0230.tex,B,G,B 
question_0231.tex,B,G,B 
question_0232.tex,C,J,D 
question_0233.tex,A,F,A 
question_0234.tex,B,G,B 
question_0235.tex,A,F,A 
question_0236.tex,C,H,C 
question_0237.tex,D,K,E 
question_0238.tex,A,F,A 
question_0239.tex,B,G,B 
question_0240.tex,A,F,A 
question_0241.tex,D,K,E 
question_0242.tex,A,F,A 
question_0243.tex,C,J,D 
question_0244.tex,B,G,B 
question_0245.tex,D,K,E 
question_0246.tex,C,J,D 
question_0247.tex,C,H,C 
question_0248.tex,C,J,D 
question_0249.tex,A,F,A 
question_0250.tex,D,K,E 
question_0251.tex,D,K,E 
question_0252.tex,C,J,D 
question_0253.tex,C,J,D 
question_0254.tex,D,J,D 
question_0255.tex,C,J,D 
question_0256.tex,C,H,C 
question_0257.tex,A,G,B 
question_0258.tex,C,J,D 
question_0259.tex,A,F,A 
